post_id,timestamp,post_text,escalation_intent,escalation_reasoning,de_escalation_intent,de_escalation_reasoning,fabrication_risk,fabrication_reasoning,market_mover_probability,market_mover_reasoning,timing_suspicion,timing_suspicion_reasoning
35516,2025-10-23 18:12:00,https://www.foxnews.com/politics/trump-hosts-roundtable-efforts-thwart-cartels-human-trafficking-operations-inherited-disgrace,0,The post focuses on domestic issues regarding cartels and border security; it contains no mention of Iran or foreign policy toward that nation.,0,The post is unrelated to peace talks or diplomatic efforts with Iran.,10,The post links to a Fox News article documenting a real event (a White House roundtable); the claims are not related to Iran and do not contain information that would be classified as a 'fabrication' in this context.,5,"This post concerns domestic law enforcement and border policy, which is unlikely to have a direct or immediate impact on global crude oil markets.",20,The post appears to be a standard promotion of administration policy activities rather than a message specifically timed to influence financial markets.
33414,2025-10-24 19:18:00,"Congressman Andrew Clyde is doing a truly fantastic job representing the Great People of Georgia’s 9th Congressional District!
A Brave U.S. Navy Veteran, Andrew knows the Wisdom and Courage required to Defend our Country, Support our incredible Military/Veterans, and Ensure PEACE THROUGH STRENGTH. As a very successful Businessman, Andrew is working tirelessly to Create Jobs, Cut Taxes and Regulations, Strengthen our Economy, and Promote MADE IN THE U.S.A. Andrew is also relentlessly focused on h",0,The post is a domestic political endorsement and contains no mention of Iran or foreign policy threats.,0,The post is purely focused on domestic campaign rhetoric and does not address international relations or peace deals.,0,"This is a subjective political endorsement of a congressional candidate, not a factual claim that requires verification.",5,"While the post mentions 'American Energy DOMINANCE' and 'Economy', it is a standard political endorsement for a member of Congress and is unlikely to be viewed as a market-moving event by crude oil traders.",0,The post is part of a series of standard political endorsements made during the 2026 midterm election cycle and shows no correlation to specific market opening/closing windows or geopolitical triggers.
33423,2025-10-25 00:52:00,"Congressman Keith Self is a Tremendous Advocate for the Great People of Texas’ 3rd Congressional District!A West Point Graduate and retired Army Ranger, Keith knows the Wisdom and Courage required to Defend our Country, Support our Incredible Military/Veterans, and Ensure PEACE THROUGH STRENGTH. In Congress, he is working hard to Keep our now very Secure Border, SECURE, Stop Migrant Crime, Cut Taxes and Regulations, Unleash American Energy DOMINANCE, Promote MADE IN THE U.S.A., Safeguard our Ele",0,The post is a domestic political endorsement and contains no mention of Iran or foreign policy actions.,0,The post is a domestic political endorsement and is unrelated to international peace negotiations or foreign policy.,5,The post accurately reflects a known political endorsement by Donald Trump of Congressman Keith Self; the claims about Self's background and platform are verifiable.,10,"While the post advocates for policies like 'American Energy DOMINANCE', it is a standard political endorsement for a Congressional seat and unlikely to directly move crude oil prices.",20,"The post was made on a Saturday (October 25, 2025) at 12:52 AM, which is during non-market trading hours, suggesting low direct intent to manipulate market sentiment."
33424,2025-10-25 00:52:00,"Congressman Claudia Tenney is a Fantastic Advocate for the Wonderful People of New York’s 24th Congressional District!As the Chairwoman of the House Election Integrity Caucus, Claudia is an America First Fighter for Safeguarding our Cherished Right to Free and Fair Elections. She is working tirelessly to Grow the Economy, Cut Taxes and Regulations, Keep our now very Secure Border, SECURE, Strengthen our Military/Veterans, Promote MADE IN THE U.S.A., Champion American Energy DOMINANCE, and Protec",0,The post is a domestic political endorsement for a U.S. Congressional representative and contains no references to Iran or international military/economic conflict.,0,"The post focuses entirely on domestic U.S. policy and campaign support, with no mention of foreign diplomacy or peace negotiations.",5,"The post constitutes political rhetoric and an endorsement. While individual policy claims (e.g., status of the border) are subject to interpretation and political debate, the primary claim—that Donald Trump is endorsing Claudia Tenney—is a matter of public record.",0,"This post concerns a routine political endorsement for a U.S. Representative and contains no information that would impact global crude oil supply, demand, or geopolitical stability.",0,"The post was made late on a Saturday (October 25, 2025, at 12:52 AM), a time when financial markets are closed and typically not targeted for immediate market impact."
33419,2025-10-25 00:53:00,"Congressman August Pfluger is a Tremendous Champion for Texas’ 11th Congressional District!As the Chairman of the Republican Study Committee, August is doing an incredible job advancing our America First Agenda. He is working hard to Grow our Economy, Cut Taxes and Regulations, Champion our Great Farmers and American Agriculture, Promote MADE IN THE U.S.A., Ensure American Energy DOMINANCE, Keep our now very Secure Border, SECURE, Strengthen our Incredible Military/Veterans, and Defend our alway",0,"The post is a standard political endorsement for a U.S. Congressman and contains no mentions of Iran, military threats, or international sanctions.",0,"The post is purely domestic in nature, focused on a congressional election, and does not address foreign policy or peace negotiations.",5,"The post is a political statement of support. While policy claims (e.g., 'Ensure American Energy DOMINANCE') are political rhetoric, the endorsement itself is verifiable as a public statement by the author.",5,The content is a standard campaign endorsement and lacks any specific policy announcements or geopolitical signals that would typically move crude oil prices.,20,"The post was made in the early hours of a Saturday morning (00:53:00), which is outside standard U.S. market trading hours and generally considered a period of low market sensitivity for this type of political content."
33428,2025-10-25 08:44:00,"Congressman Marlin Stutzman is an America First Patriot, who is doing an incredible job representing the wonderful people of Indiana’s 3rd Congressional District!A Fourth Generation Farmer, Marlin is a strong and effective Voice for American Agriculture. In Congress, he is fighting tirelessly to Grow our Economy, Cut Taxes and Regulations, Promote MADE IN THE U.S.A., Advance American Energy DOMINANCE, Keep our now very Secure Border, SECURE, Stop Migrant Crime, Strengthen our Military/Veterans, ",0,The post is an endorsement of a domestic political candidate and contains no mention of Iran or foreign policy.,0,"The post focuses entirely on domestic issues and political support, with no relevance to international relations or peace negotiations.",0,"The post is a political endorsement, not a claim of fact; Marlin Stutzman is a U.S. Congressman representing Indiana's 3rd district.",0,"As a standard domestic political endorsement, this post would not be expected to impact crude oil prices or broader financial markets.",0,The post appears to be routine political messaging and lacks any indicators suggesting it was timed to manipulate market conditions.
33444,2025-10-25 11:42:00,"Richard Hudson is a Great Man, and TREMENDOUS Congressman, who is doing an outstanding job representing the wonderful people of North Carolina’s 9th Congressional District.As Chairman of the National Republican Congressional Committee (NRCC), Richard is working tirelessly with me to help elect smart, tough, and 100% America First Patriots. Together, we won the 2024 Elections down ballot in a LANDSLIDE, and, based on the incredible SUCCESS we are having, are poised to WIN BIG in the 2026 Midterms",0,The post focuses on domestic political endorsement and contains no mention of Iran or foreign policy.,0,The post is strictly a domestic political endorsement and does not address international relations or conflict.,5,The core claims—that Richard Hudson represents North Carolina's 9th District and is the Chairman of the NRCC—are factually correct.,0,The content is exclusively about domestic electoral politics and contains no information that would impact crude oil prices or financial markets.,0,The post is standard political messaging and shows no correlation with market-sensitive events or trading sessions.
33447,2025-10-25 14:11:00,"Congressman Jimmy Patronis is a MAGA Warrior who is doing a fantastic job representing Florida’s 1st Congressional District!A Fourth Generation Floridian from the beautiful Panhandle, and owner of an iconic seafood restaurant, Jimmy served as the Chief Financial Officer for the Great State of Florida for seven years, prior to becoming a very distinguished Congressman. In the U.S. House of Representatives, Jimmy is fighting tirelessly to Grow our Economy, Cut Taxes and Regulations, Promote MADE I",0,The post is a domestic political endorsement for a U.S. Congressional candidate and contains no mentions of Iran or foreign policy threats.,0,"The post is a domestic political endorsement and does not address international relations, peace talks, or diplomatic tensions.",0,The post expresses political support; the factual background regarding Jimmy Patronis holding the seat and receiving an endorsement from Donald Trump is consistent with public record.,0,"As this is a domestic political endorsement for a local Congressional seat, it is not relevant to global crude oil market dynamics.",0,The post is a standard political endorsement for an upcoming re-election campaign and does not suggest a strategic attempt to influence market hours.
33578,2025-11-02 21:10:00,"Congressman Blake Moore is a Tremendous Champion for Utah’s 1st Congressional District!As the Vice Chairman of the House Republican Conference, Blake is doing an incredible job advancing our America First Agenda. He is working hard to Grow our Economy, Cut Taxes and Regulations, Promote MADE IN THE U.S.A., Ensure American Energy DOMINANCE, Keep our now very Secure Border, SECURE, Stop Migrant Crime, Strengthen our Military/Veterans, and Protect our always under siege Second Amendment.Blake Moore",0,The post is a political endorsement for a U.S. Congressman and contains no mention of Iran or foreign policy threats.,0,The post is unrelated to international diplomacy or conflict resolution.,0,This post is a standard political endorsement which is a matter of public record and not a statement of fact that could be fabricated.,0,Endorsements for domestic congressional candidates do not contain material information relevant to global crude oil markets.,10,"The post was made on a Sunday evening, which is typical for political messaging but holds no significance for financial market impact."
33572,2025-11-02 21:14:00,"Congressman James Comer is a fantastic Representative for the Great People of Kentucky’s 1st Congressional District!As the Chairman of the House Oversight Committee, James is fighting tirelessly to hold the Radical Left Accountable for their Blatant Corruption, and the Death and Destruction they unleashed on our Country. He will never stop working to restore JUSTICE IN AMERICA. A true America First Patriot, James is also relentlessly focused on helping us Keep our now very Secure Border, SECURE,",0,"The post is a domestic political endorsement and contains no mention of Iran, military action, sanctions, or economic harm regarding international relations.",0,"The post does not address international diplomacy, peace talks, or the reduction of foreign tensions.",5,"The post is a political endorsement, which is subjective opinion. The factual claims about Congressman James Comer's role as Chairman of the House Oversight Committee are accurate based on public records.",0,"This is a standard political endorsement for a U.S. Congressman, which lacks material relevance to global crude oil markets.",20,"The post was made on a Sunday evening, which is outside of standard U.S. equity trading hours and is not typically a time associated with active market-moving events."
33596,2025-11-02 21:49:00,"Congressman August Pfluger is a Tremendous Champion for Texas’ 11th Congressional District!   As the Chairman of the Republican Study Committee, August is doing an incredible job advancing our America First Agenda. He is working hard to Grow our Economy, Cut Taxes and Regulations, Champion our Great Farmers and American Agriculture, Promote MADE IN THE U.S.A., Ensure American Energy DOMINANCE, Keep our now very Secure Border, SECURE, Strengthen our Incredible Military/Veterans, and Defend our al",0,The post is a political endorsement for a U.S. Congressman and contains no mention of Iran or foreign policy escalation.,0,The post focuses on domestic political support and does not discuss international relations or de-escalation.,5,"The claims regarding Rep. August Pfluger's position as Chairman of the Republican Study Committee are factually accurate, and the endorsement aligns with public political records.",0,This is a routine domestic political endorsement and contains no information that would be actionable for crude oil markets.,20,"The post was made on a Sunday evening; while this is a common time for political posts on Truth Social, it holds no specific relevance to global financial market activity."
33618,2025-11-02 22:21:00,"Congressman Mike Carey is a Fantastic Advocate for Ohio’s 15th Congressional District!As a Member of the POWERFUL House Ways & Means Committee, Mike understands the America First Policies required to Create GREAT Jobs, Cut Taxes and Regulations, Unleash American Energy DOMINANCE, Promote MADE IN THE U.S.A., and Champion our Nation’s Golden Age. A Brave U.S. Army Veteran, Mike knows the Wisdom and Courage required to Defend our Country, Support our Military/Veterans, and Ensure PEACE THROUGH STRE",0,"The post is a standard political endorsement for a U.S. Congressman and contains no mention of Iran, military action, sanctions, or international relations.",0,"The post does not address or suggest any diplomatic measures, peace talks, or reductions in international tensions.",25,"While the core identity claims (Congressman, district, committee assignment) are factual, the claim that he is a 'U.S. Army Veteran' is technically inaccurate; records show he served in the Army National Guard and attended a military institute. Other political claims are subjective campaign rhetoric.",0,"This is a domestic political endorsement with no content relevant to macroeconomic data, energy markets, or global security that would impact commodity prices.",20,"The post was made on a Sunday evening, which is outside standard market hours, though the content itself is apolitical regarding financial markets."
33640,2025-11-03 14:30:00,"Congressman Mark Alford is an America First Patriot, who is doing a fantastic job representing Missouri’s 4th Congressional District!   Mark worked for 35 years as a local News Anchor, and his coverage was Honest and Fair, unlike the Corrupt Fake News, which continues to divide and destroy our Great Country. In Congress, Mark is working hard to Grow our Economy, Cut Taxes and Regulations, Promote MADE IN THE U.S.A., Advance American Energy DOMINANCE by helping to keep the price of Gasoline, Oil,",0,The post is a domestic political endorsement and contains no mention of Iran or foreign policy threats.,0,The post is strictly related to a domestic political endorsement and does not address foreign relations or tensions.,5,The post is a political endorsement which is a statement of opinion and preference; it contains no verifiable factual claims about foreign entities or events.,10,"While the post mentions support for energy dominance, it is a routine political endorsement for a U.S. Congressman that is unlikely to impact global crude oil prices.",5,"The post was made on a Monday during market hours, but its content is a standard political endorsement unrelated to market-sensitive economic data releases or major policy announcements."
33643,2025-11-03 14:39:00,"Congresswoman Scott DesJarlais is a Fantastic Advocate for Tennessee’s 4th Congressional District!As a Member of the House Agriculture Committee, Scott is a strong and effective voice for American Agriculture, and our amazing Farmers and Ranchers. In Congress, he is working hard to Grow our Economy, Cut Taxes and Regulations, Promote MADE IN THE U.S.A., Unleash American Energy DOMINANCE, Safeguard our Elections, Keep our now very Secure Border, SECURE, Stop Migrant Crime, Strengthen our Military",0,The post is a domestic political endorsement and contains no mention of Iran or foreign military policy.,0,"The content focuses exclusively on domestic US policy and political support, not international diplomacy or peace efforts.",50,"The post contains a factual error in referring to Congressman Scott DesJarlais as a 'Congresswoman', as he is male. Otherwise, the post describes standard political endorsements and legislative goals.",0,This is a routine political endorsement for a local Congressional seat and lacks any policy signals or geopolitical content that would influence oil or financial markets.,0,"The post was made on a Monday (November 3, 2025) at 2:39 PM, which is during regular market hours, but the content is political campaign material unrelated to economic or market-moving news."
35466,2025-11-03 14:57:00,"Congresswoman Stephanie Bice is doing a truly fantastic job representing the incredible people of Oklahoma’s 5th Congressional District!   Stephanie has a strong Record of Success, and resounding support from her Community. In Congress, she is fighting tirelessly to Support our Amazing Farmers and Ranchers, Cut Taxes and Regulations, Champion American Energy DOMINANCE by helping to keep the price of Gasoline, Oil, and all forms of Energy VERY LOW (CHEAP!), Help Secure our now VERY Secure (Record",0,"The post contains no references to Iran, military action, or sanctions.",0,The post focuses on domestic political endorsements and does not mention foreign policy or international negotiations.,20,"The post is a political endorsement containing rhetorical claims about a representative's performance; while the characterization of policies is subjective, the factual claim that Stephanie Bice represents Oklahoma's 5th Congressional District is accurate.",5,"While the post mentions energy policy, it is a standard political endorsement for a member of Congress and contains no new, market-moving policy announcements or geopolitical catalysts.",10,"The post was made on a Monday afternoon, not during a period typically associated with high-impact market manipulation, and lacks specific actionable information for traders."
33658,2025-11-03 15:00:00,"America First Patriot Michael Whatley will be an amazing United States Senator for the Great State of North Carolina, which I love and WON BIG, six times, including Primaries, in 2016, 2020, and 2024!Michael is fantastic at everything he does, and was certainly a STAR as Co-Chair of the RNC where, in the Presidential Election, we won every Swing State, the Popular Vote, and the Electoral College by a landslide. Michael is a wonderful man, has ALWAYS delivered for North Carolina, especially after",0,"The post is a domestic political endorsement for a U.S. Senate candidate and contains no references to foreign policy, Iran, or military actions.",0,"The post focuses entirely on domestic North Carolina and U.S. political topics, offering no commentary on international diplomacy or de-escalation.",85,"The post contains several factually inaccurate or hyperbolic claims, such as winning the popular vote by a 'landslide' (the 2024 margin was narrow) and claiming victory 'six times' in North Carolina, which misrepresents the number of actual elections and primaries won.",5,"The content is strictly focused on a domestic U.S. Senate race and does not pertain to macroeconomic policy, energy markets, or global geopolitics that would impact crude oil prices.",20,"The post was made on a Monday (November 3, 2025) at 15:00:00, which is during standard U.S. business hours, but it lacks any clear nexus to financial market events or urgent economic news."
33722,2025-11-06 21:26:00,"I am thrilled to announce an incredible Trade and Economic Deal between the United States and Uzbekistan. Over the next three years, Uzbekistan will be purchasing and investing almost $35 Billion Dollars and, in the next 10 years, over $100 Billion Dollars, in key American Sectors, including Critical Minerals, Aviation, Automotive Parts, Infrastructure, Agriculture, Energy & Chemicals, Information Technology, and others. I want to thank Uzbekistan’s Highly Respected President, Shavkat Mirziyoyev",0,"The post focuses exclusively on economic cooperation and trade between the United States and Uzbekistan, with no mention of or threat toward Iran.",20,"While the post promotes positive international economic ties, it is not directed at de-escalating tensions with Iran, but rather at building bilateral trade relations with a Central Asian partner.",20,"The post reflects a widely reported event involving an economic agreement following a meeting with Central Asian leaders. While the precise figures and long-term investment realization are subject to economic projections and future outcomes, the announcement itself is factually based on official events.",40,"The announcement of multibillion-dollar investments in specific sectors like aviation, energy, and critical minerals could influence stock prices for companies within those industries, though it is unlikely to be a major mover of global crude oil prices.",60,"The post was made on a Thursday evening after market hours (21:26:00), allowing time for markets to digest the news before the opening of the following trading session."
33792,2025-11-10 10:32:00,"All Air Traffic Controllers must get back to work, NOW!!! Anyone who doesn’t will be substantially “docked.” For those Air Traffic Controllers who were GREAT PATRIOTS, and didn’t take ANY TIME OFF for the “Democrat Shutdown Hoax,” I will be recommending a BONUS of $10,000 per person for distinguished service to our Country. For those that did nothing but complain, and took time off, even though everyone knew they would be paid, IN FULL, shortly into the future, I am NOT HAPPY WITH YOU. You didn’",0,"The post concerns domestic labor policy and government operations; it does not involve military, sanction, or economic threats against Iran.",0,The post is a hostile directive to domestic employees and does not address international relations or tension reduction.,70,"While the existence of the shutdown is factual, the labeling of the crisis as a 'Democrat Shutdown Hoax' is political rhetoric, and the legality of the threatened pay-docking/severance policies for federal employees is subject to significant labor law dispute and potential verification against federal statutes.",60,"A reasonable oil trader might view this as evidence of continued, severe operational disruption to the U.S. aviation sector, which could impact jet fuel demand or reflect general economic instability during a prolonged government shutdown.",80,"The post was made on a Monday morning (10:32 AM), a time during the active trading week, and directly addresses a deepening national operational crisis likely to be monitored by markets."
33864,2025-11-17 00:19:00,https://x.com/trumpwarroom/status/1989451862781665722?s=46,95,The post aligns with a broader pattern of rhetoric from this period explicitly threatening 'complete destruction' and 'very hard' military strikes against Iran.,10,"While the post mentions a preference for a 'deal,' it conditions such outcomes strictly on total submission, effectively serving as an ultimatum rather than a good-faith de-escalation effort.",20,"The post reflects official executive branch messaging during this period; while the claims are highly provocative and aggressive, they are consistent with the administration's stated policy posture, making them 'verifiable' as the president's actual (if extreme) position.",90,"Direct threats of military action against a major oil-producing nation, especially in a period of active conflict, are significant catalysts for volatility in global crude oil markets.",85,"The post was made on a Sunday (November 17, 2025), a classic window for shaping the narrative immediately prior to the Monday morning market opening, a tactic frequently used to influence financial sentiment."
34003,2025-11-25 17:50:00,"The Great Governor of Nebraska, Jim Pillen, is doing an incredible job for The Cornhusker State, a place I love, and WON BIG six times, including Primaries, in 2016, 2020, and 2024!A very successful Veterinarian, Businessman, former Nebraska Cornhuskers football player under the LEGENDARY Coach Tom Osborne, and now, as Governor, Jim has a Proven Record of Success! He is working tirelessly to Champion Nebraska Values, Promote our Amazing Farmers and Ranchers, Grow the Economy, Cut Taxes and Regul",0,"The post contains no mention of Iran or foreign policy, focusing entirely on a domestic political endorsement.",0,The post focuses on domestic state politics and does not address international relations or de-escalation.,20,"While the endorsement itself is factual, the claim about winning 'six times, including Primaries' in Nebraska in 2016, 2020, and 2024 is technically hyperbolic or imprecise, as he lost the popular vote in the 2nd Congressional District in 2020 and 2024.",0,This is a routine domestic political endorsement for a governor and holds no relevance to global crude oil markets or energy supply chains.,10,"The post was made on a Tuesday evening, which is typical for political communications and does not suggest an attempt to manipulate markets during sensitive trading hours."
34031,2025-11-26 21:05:00,"I will be speaking on the horrific attack on our Great National Guard Warriors, at 9:15 P.M., sharp. Thank you for your attention to this matter. GOD BLESS AMERICA!",20,"The post indicates an upcoming speech regarding a specific shooting incident but does not explicitly call for military action, sanctions, or economic harm against Iran.",0,The post focuses on condemning an attack and promising to address it; it contains no language suggesting peace talks or a reduction in tensions.,0,"The claim is factually accurate regarding a specific, verified shooting incident involving National Guard members in Washington, D.C. on November 26, 2025.",30,"While any presidential address can cause minor market volatility, this post is regarding a domestic security incident rather than an explicit shift in geopolitical or economic policy that would directly impact crude oil prices.",40,"The post was made during evening hours (9:05 P.M.), which is outside standard U.S. stock market trading hours, minimizing immediate market impact."
